,timestamp,pm1,pm2_5,pm10,gpsLongitude,gpsLatitude,gpsAltitude,i/o
0,2021-07-01 08:43:47.182,1.2772018,3.7253275,22.343485,-0.1743964999999999,51.4901746,60.82788622479593,1
1,2021-07-01 08:44:23.941,1.146876,3.5695534,12.421591,-0.1743655,51.4901809,61.084265431746026,1
2,2021-07-01 08:45:01.337,1.1509241,3.4566936000000004,9.100153,-0.1744027,51.4902367,60.90725932777558,1
3,2021-07-01 08:45:38.113,1.0064142,3.0697966,19.038181,-0.1746168,51.4902279,74.88009737872973,1
4,2021-07-01 08:46:15.512,1.2215887,3.8266993,17.674307000000002,-0.1746212,51.490261700000005,60.64291673397229,1
5,2021-07-01 08:46:52.300,1.2644789,3.7290182,16.561451,-0.1744972,51.4901571,61.029412468198174,1
6,2021-07-01 08:47:29.696,1.1557396999999998,3.4302182,15.977528,-0.1743713999999999,51.4901355,60.885780231845104,1
7,2021-07-01 08:48:02.584,1.0814699,3.1762545,19.030762,-0.1745193,51.4902498,61.04870897275968,1
8,2021-07-01 08:48:39.361,1.2388785,3.7085328,22.159985,-0.1744002999999999,51.490269700000006,61.05407305922592,1
9,2021-07-01 08:49:17.403,1.0855572,2.8782866,17.619808,-0.1743974999999999,51.49021389999999,61.067030393340175,1
10,2021-07-01 08:49:53.549,1.1118013,3.2132552000000003,16.5031,-0.1744196,51.4901834,60.94845534724978,1
11,2021-07-01 08:50:30.947,1.1546643,3.3511882000000006,14.394366,-0.1743983,51.4901801,61.010522619148496,1
12,2021-07-01 08:51:08.982,1.3002559,5.3001842,142.71844,-0.174438,51.4901722,60.913869832705046,1
13,2021-07-01 08:51:46.411,0.98302907,3.0681293,43.90784,-0.1743844,51.4901782,61.120590164442845,1
14,2021-07-01 08:52:22.526,0.9369753,2.8696241,17.240238,-0.1742712,51.4901361,60.8783239138447,1
15,2021-07-01 08:52:58.003,0.9418052,3.202298,50.149483,-0.1743054,51.4901921,60.968267408854096,1
16,2021-07-01 08:53:34.760,1.075706,4.2431645,37.78067,-0.1743166,51.4901602,60.8699366305685,1
17,2021-07-01 08:54:10.876,1.2980804,5.538468,43.49111,-0.1737805,51.490514000000005,56.07871572253613,1
18,2021-07-01 08:54:48.306,1.6579868999999998,5.9504423,28.7996,-0.1739193,51.4906122,54.648381971903255,1
19,2021-07-01 08:55:25.047,1.8408407,7.7149296,38.233772,-0.1744622,51.4902974,53.794159755854224,1
20,2021-07-01 08:56:00.535,1.6079915,5.8119144,24.141693,-0.1749277,51.490067,53.92816204954119,1
20,2021-07-01 08:56:00.535,1.6079915,5.8119144,24.141693,-0.1749277,51.490067,53.92816204954119,1
21,2021-07-01 08:56:36.781,1.7569349,6.126767,47.254242,-0.1753321,51.4896975,53.80988158511903,1
22,2021-07-01 08:57:11.476,1.7496715,5.947749,24.958454,-0.1755229,51.4895555,53.861849265811,1
23,2021-07-01 08:57:46.959,2.3315547000000003,8.258931,65.25426999999999,-0.1758223,51.489586,53.827077080736856,1
24,2021-07-01 08:58:24.371,1.8385544,6.892235799999999,28.88992,-0.1759013999999999,51.4895956,53.58596762993409,1
25,2021-07-01 08:58:59.835,1.7887038,6.797418,47.267105,-0.1759183,51.489594700000005,53.68857548431756,1
26,2021-07-01 08:59:36.617,1.8116885,6.2179494,21.46699,-0.1760412,51.4897259,53.24311594240924,1
27,2021-07-01 09:00:13.387,2.1520946,8.866013,68.77858,-0.1764832999999999,51.490054,53.360972555062425,1
28,2021-07-01 09:00:50.131,1.8297708,7.03655,59.936356,-0.176904,51.4903912,53.28873607938077,1
29,2021-07-01 09:01:26.889,1.6652794999999998,6.2016144,23.699572,-0.1772764,51.4906158,53.41890209511772,1
30,2021-07-01 09:02:02.384,1.8198401,6.1490083,31.804594,-0.1775082,51.4910003,53.36335555054853,1
31,2021-07-01 09:02:39.139,1.7791893,6.626207400000001,18.590315,-0.1778785,51.4913315,53.4149943655752,1
32,2021-07-01 09:03:13.318,1.9811131,6.691972,17.720957000000002,-0.1782027,51.491698,53.37080295343657,1
33,2021-07-01 09:03:48.166,1.9577868000000005,7.023216199999999,31.611828000000003,-0.1786917999999999,51.4919437,53.23668201700794,1
34,2021-07-01 09:04:25.564,1.9464269,6.6497555,18.286871,-0.1791686,51.4917375,53.802955910212575,1
35,2021-07-01 09:04:59.741,1.8248146,5.792976,20.488632,-0.1792952,51.491657700000005,53.43983609144482,1
36,2021-07-01 09:05:34.584,1.9478978,6.873359,41.86764,-0.1791855,51.4916501,53.61688472943569,1
37,2021-07-01 09:06:10.696,2.6167035,11.858164,84.43619,-0.1793406,51.4919475,53.40296878601025,1
38,2021-07-01 09:06:46.183,2.125251,8.003256,45.664436,-0.1798664999999999,51.4924151,53.32296699664058,1
39,2021-07-01 09:07:21.011,2.0175400000000003,6.8421326,34.118702,-0.1802057,51.4928321,53.17524107710467,1
40,2021-07-01 09:07:55.194,5.515102,12.870812,52.79476999999999,-0.1806246,51.4929678,53.25866045568056,1
41,2021-07-01 09:08:30.025,0.37404034,0.6531944000000001,1.4512436000000002,-0.1812116,51.4927909,53.29088515288778,1
42,2021-07-01 09:09:05.485,2.13423,6.983463,41.910732,-0.1816808,51.4931224,53.52909965065973,1
43,2021-07-01 09:09:41.609,3.1329217000000003,9.136752,27.887993,-0.1818255,51.49334879999999,53.61935569759314,1
44,2021-07-01 09:10:16.449,3.665860700000001,10.059162,25.293688,-0.1818636,51.4933652,53.56768246108616,1
45,2021-07-01 09:10:49.989,3.6060383,10.281579,23.62749,-0.1818583999999999,51.4933733,53.58029384226792,1
46,2021-07-01 09:11:24.156,3.6208613,10.663225,52.580105,-0.1819632,51.4935175,53.76609709981785,1
47,2021-07-01 09:11:58.354,2.6754804,8.519578,46.23535,-0.1822005,51.493927,53.86246737957575,1
48,2021-07-01 09:12:31.893,2.6886675,8.634502000000001,41.30499,-0.1824462,51.4942186,54.0735093009939,1
49,2021-07-01 09:13:06.712,1.7448953,6.7225423,37.273396000000005,-0.1827866,51.4945139,53.6187194981314,1
50,2021-07-01 09:13:43.648,1.2522249,4.7520804000000005,29.761988,-0.1832811,51.4945311,53.43679277830612,1
50,2021-07-01 09:13:43.648,1.2522249,4.7520804000000005,29.761988,-0.1832811,51.4945311,53.43679277830612,1
51,2021-07-01 09:14:15.734,1.4850847,5.107108599999999,19.473906,-0.1835055,51.4945784,53.55582498173725,1
51,2021-07-01 09:14:15.734,1.4850847,5.107108599999999,19.473906,-0.1835055,51.4945784,53.55582498173725,1
52,2021-07-01 09:14:49.278,1.2920086000000002,4.5714073,28.306345,-0.1834588999999999,51.4945177,53.48732555069907,1
52,2021-07-01 09:14:49.278,1.2920086000000002,4.5714073,28.306345,-0.1834588999999999,51.4945177,53.48732555069907,1
53,2021-07-01 09:15:22.814,1.748975,4.9626517,23.660011,-0.1839189,51.4945933,53.62929684488308,1
53,2021-07-01 09:15:22.814,1.748975,4.9626517,23.660011,-0.1839189,51.4945933,53.62929684488308,1
54,2021-07-01 09:15:55.823,1.927645,4.4583893,10.222980499999998,-0.1841725,51.4952219,53.57670010044307,1
55,2021-07-01 09:16:25.380,1.501377,3.5869281,7.493614999999999,-0.1841375,51.4947127,53.611019960677226,1
55,2021-07-01 09:16:25.380,1.501377,3.5869281,7.493614999999999,-0.1841375,51.4947127,53.611019960677226,1
56,2021-07-01 09:16:55.696,1.4043795,3.6575234,14.611854999999998,-0.1839897999999999,51.4946163,53.561676574447816,1
56,2021-07-01 09:16:55.696,1.4043795,3.6575234,14.611854999999998,-0.1839897999999999,51.4946163,53.561676574447816,1
57,2021-07-01 09:17:26.713,1.6101476,4.145251,16.64564,-0.1841313,51.4946557,53.6251972042534,1
57,2021-07-01 09:17:26.713,1.6101476,4.145251,16.64564,-0.1841313,51.4946557,53.6251972042534,1
58,2021-07-01 09:17:58.258,1.876527,5.2398205,12.041756,-0.1839057,51.4945827,53.57314989271703,1
58,2021-07-01 09:17:58.258,1.876527,5.2398205,12.041756,-0.1839057,51.4945827,53.57314989271703,1
59,2021-07-01 09:18:27.945,1.7524779,5.3768044,29.83967,-0.1836715,51.494586,53.7204503054554,1
59,2021-07-01 09:18:27.945,1.7524779,5.3768044,29.83967,-0.1836715,51.494586,53.7204503054554,1
60,2021-07-01 09:18:58.885,1.9030683,5.6816416,20.31691,-0.1836329,51.4945978,53.49971854882094,1
60,2021-07-01 09:18:58.885,1.9030683,5.6816416,20.31691,-0.1836329,51.4945978,53.49971854882094,1
61,2021-07-01 09:19:30.508,1.6081606000000002,5.5267806,39.702908,-0.1836345,51.4946368,53.4331373967125,1
61,2021-07-01 09:19:30.508,1.6081606000000002,5.5267806,39.702908,-0.1836345,51.4946368,53.4331373967125,1
62,2021-07-01 09:20:01.462,1.7027785,5.430172,33.191635,-0.1836669,51.4946229,53.52657786525358,1
62,2021-07-01 09:20:01.462,1.7027785,5.430172,33.191635,-0.1836669,51.4946229,53.52657786525358,1
63,2021-07-01 09:20:34.354,1.9419471,6.608412700000001,37.9584,-0.183671,51.4946399,53.4973376997052,1
63,2021-07-01 09:20:34.354,1.9419471,6.608412700000001,37.9584,-0.183671,51.4946399,53.4973376997052,1
64,2021-07-01 09:21:04.655,1.8290321,5.7974153,21.49979,-0.1836296,51.4946363,53.651209464325454,1
64,2021-07-01 09:21:04.655,1.8290321,5.7974153,21.49979,-0.1836296,51.4946363,53.651209464325454,1
65,2021-07-01 09:21:35.624,1.8155574,5.9403043,34.91985,-0.183728,51.4945838,53.77767668822639,1
65,2021-07-01 09:21:35.624,1.8155574,5.9403043,34.91985,-0.183728,51.4945838,53.77767668822639,1
66,2021-07-01 09:22:05.307,2.0191884,6.5742910000000006,37.78562,-0.1836754,51.4946334,53.64929042733734,1
66,2021-07-01 09:22:05.307,2.0191884,6.5742910000000006,37.78562,-0.1836754,51.4946334,53.64929042733734,1
67,2021-07-01 09:22:38.193,1.9225042,5.6877713,23.140217,-0.1837269,51.4946125,53.7384406374288,1
67,2021-07-01 09:22:38.193,1.9225042,5.6877713,23.140217,-0.1837269,51.4946125,53.7384406374288,1
68,2021-07-01 09:23:09.795,1.8344799,6.1222944,40.090477,-0.1837059,51.4946515,53.41574936723658,1
68,2021-07-01 09:23:09.795,1.8344799,6.1222944,40.090477,-0.1837059,51.4946515,53.41574936723658,1
69,2021-07-01 09:23:43.350,2.574475,7.871848,34.93625,-0.1836443999999999,51.4948268,53.67550550644423,1
69,2021-07-01 09:23:43.350,2.574475,7.871848,34.93625,-0.1836443999999999,51.4948268,53.67550550644423,1
70,2021-07-01 09:24:14.304,3.0198789,9.914003999999998,44.63297,-0.1842275,51.4948781,53.6512488436497,1
71,2021-07-01 09:24:43.964,2.8007233,8.079513,16.72279,-0.1846172,51.4947883,53.572627138142224,1
71,2021-07-01 09:24:43.964,2.8007233,8.079513,16.72279,-0.1846172,51.4947883,53.572627138142224,1
72,2021-07-01 09:25:12.997,2.9609377,8.612298,22.700516,-0.1846183,51.4947791,53.7689044853971,1
72,2021-07-01 09:25:12.997,2.9609377,8.612298,22.700516,-0.1846183,51.4947791,53.7689044853971,1
73,2021-07-01 09:25:43.938,2.9912162,9.286531,43.284313,-0.1848607,51.4949393,53.5716250375817,1
74,2021-07-01 09:26:14.274,2.223692,7.408111999999999,37.963886,-0.1849511,51.4953182,53.89676139772074,1
75,2021-07-01 09:26:44.585,2.4110374,7.354297,35.073837,-0.1850323999999999,51.495663,53.83648561676616,1
76,2021-07-01 09:27:15.531,2.4562938,7.775877499999999,28.619757,-0.185068,51.4960684,54.1303254891201,1
77,2021-07-01 09:27:46.513,2.3250682,6.651778,45.069,-0.1850802,51.496398,54.08198763231896,1
78,2021-07-01 09:28:17.466,2.6628990000000003,7.020581,16.759992999999998,-0.1850148999999999,51.4967185,53.96720493035731,1
79,2021-07-01 09:28:47.844,2.4115887000000003,7.1958720000000005,50.507824,-0.1850411,51.4969459,54.373629483216114,1
80,2021-07-01 09:29:20.025,2.864705,7.860449000000001,36.73552,-0.1849232999999999,51.497201700000005,54.07035546576336,1
81,2021-07-01 09:29:50.981,2.8369532000000004,8.24424,30.906984,-0.1854762,51.4973752,53.47349731663455,1
82,2021-07-01 09:30:25.181,2.6369455000000004,7.818614,28.007881,-0.1859635,51.49736970000001,53.2567472768236,1
83,2021-07-01 09:30:59.346,3.1274424,9.611572,67.45147,-0.1859982,51.4975256,54.004507747121686,1
84,2021-07-01 09:31:33.540,2.805259,8.473604,27.794834,-0.186267,51.497743,54.744967824976776,1
85,2021-07-01 09:32:03.861,3.1656168,10.310025,45.625977,-0.1868366,51.49779,55.613651321218846,1
86,2021-07-01 09:32:36.751,2.538318,8.092464999999999,30.815207,-0.1875099999999999,51.4978103,55.037692414532174,1
87,2021-07-01 09:33:09.010,2.8142173,7.983608999999999,33.418243,-0.1880424,51.4978609,55.32006654263589,1
88,2021-07-01 09:33:42.526,2.7642863,8.801198,41.499092,-0.1881563999999999,51.4981925,55.2134409909375,1
89,2021-07-01 09:34:13.504,3.3268073,9.985259,39.423653,-0.188154,51.498509000000006,55.32107613530828,1
90,2021-07-01 09:34:44.445,2.9280188,8.709221000000001,33.123554,-0.1881972,51.4988492,55.47694953588883,1
91,2021-07-01 09:35:16.072,3.1088262,8.865925,29.33075,-0.1881917,51.4991864,55.97460873885211,1
92,2021-07-01 09:35:48.973,2.7341957000000003,7.532941,30.751297,-0.1881821,51.4992742,56.10431666234189,1
93,2021-07-01 09:36:21.844,3.229521,9.294942,40.073803000000005,-0.1887204999999999,51.4994013,56.42931271219736,1
94,2021-07-01 09:36:53.446,4.599056200000001,17.708492,91.42009,-0.1892317,51.4994473,56.25173617940752,1
95,2021-07-01 09:37:25.711,2.748183,7.685800599999999,44.897743,-0.1892237999999999,51.4994658,56.26121766711501,1
96,2021-07-01 09:37:58.601,3.443618,11.533861,64.68316999999999,-0.1888505,51.4995227,56.41863944554176,1
97,2021-07-01 09:38:30.863,2.6797354,8.674185000000001,40.778397,-0.1884774,51.4997983,57.20750345189028,1
98,2021-07-01 09:39:04.400,2.9147816000000004,8.907346,37.82197,-0.188431,51.500184,57.279766965522654,1
99,2021-07-01 09:39:36.630,2.6477036,8.271211,42.56579,-0.1887974,51.500429,57.31799772895887,1
100,2021-07-01 09:40:10.821,2.9471772,8.344887,35.64594,-0.1893494999999999,51.5004714,57.82640803408979,1
101,2021-07-01 09:40:42.422,2.7966592,9.10088,30.15313,-0.1895416,51.500754,58.43877873985958,1
102,2021-07-01 09:41:12.738,3.389822,11.455054,75.050896,-0.1897257999999999,51.5011083,59.14827420622372,1
103,2021-07-01 09:41:44.339,2.8926685,8.175677,29.064955,-0.1899333,51.5014161,59.75685017328664,1
103,2021-07-01 09:41:44.339,2.8926685,8.175677,29.064955,-0.1899333,51.5014161,59.75685017328664,1
104,2021-07-01 09:42:17.891,2.932773,9.464966,49.232834,-0.1898471,51.50157479999999,60.31966922511554,1
105,2021-07-01 09:42:46.930,3.1341193,9.32452,44.29188,-0.1899271,51.5017243,60.97543843212038,1
106,2021-07-01 09:43:18.515,1.1276095,2.7423046,11.8455105,-0.1904077,51.50180770000001,60.95709069673524,1
106,2021-07-01 09:43:18.515,1.1276095,2.7423046,11.8455105,-0.1904077,51.50180770000001,60.95709069673524,1
107,2021-07-01 09:43:50.128,2.101114,5.283159,13.873152,-0.1905467,51.5016324,56.83292143356603,1
107,2021-07-01 09:43:50.128,2.101114,5.283159,13.873152,-0.1905467,51.5016324,56.83292143356603,1
108,2021-07-01 09:44:21.089,1.0139416,2.796185,15.101312,-0.1902342,51.5015364,55.99013962548656,1
108,2021-07-01 09:44:21.089,1.0139416,2.796185,15.101312,-0.1902342,51.5015364,55.99013962548656,1
109,2021-07-01 09:44:52.034,1.0752876,3.2290742000000003,20.666967,-0.1901842,51.50176,56.15320035340582,1
109,2021-07-01 09:44:52.034,1.0752876,3.2290742000000003,20.666967,-0.1901842,51.50176,56.15320035340582,1
110,2021-07-01 09:45:23.654,1.0764266000000002,3.4534373,16.703176000000003,-0.1904672999999999,51.5017615,56.0893319596599,1
110,2021-07-01 09:45:23.654,1.0764266000000002,3.4534373,16.703176000000003,-0.1904672999999999,51.5017615,56.0893319596599,1
111,2021-07-01 09:45:53.953,1.1589055,3.1113582,12.5301285,-0.1901803,51.5017049,56.20530260137436,1
111,2021-07-01 09:45:53.953,1.1589055,3.1113582,12.5301285,-0.1901803,51.5017049,56.20530260137436,1
112,2021-07-01 09:46:24.268,0.8616296,2.212891,16.781387,-0.1901378,51.5017642,56.50618670338626,1
112,2021-07-01 09:46:24.268,0.8616296,2.212891,16.781387,-0.1901378,51.5017642,56.50618670338626,1
113,2021-07-01 09:46:54.582,0.8194314,1.7106817,2.7320044,-0.1901628,51.5018579,60.83328333894693,1
113,2021-07-01 09:46:54.582,0.8194314,1.7106817,2.7320044,-0.1901628,51.5018579,60.83328333894693,1
114,2021-07-01 09:47:26.849,0.71135247,1.5715626,6.575573,-0.1901503,51.501804,61.07109870325207,1
114,2021-07-01 09:47:26.849,0.71135247,1.5715626,6.575573,-0.1901503,51.501804,61.07109870325207,1
115,2021-07-01 09:48:01.124,1.32585,3.9526758,32.085728,-0.1905417,51.5020444,60.994199722683966,1
