,timestamp,pm1,pm2_5,pm10,gpsLongitude,gpsLatitude,gpsAltitude,i/o
0,2021-02-23 09:30:15.408,2.050206,5.2918296,19.342451,-0.1748906,51.4898373,54.28521232980218,1
1,2021-02-23 09:30:52.190,1.7133683000000002,4.6460147,19.317822,-0.1753741,51.4899004,53.52342163063404,1
2,2021-02-23 09:31:28.932,1.8756925,5.3600473,13.395419,-0.175695,51.4901247,54.60546542276301,1
3,2021-02-23 09:32:06.347,2.0400708,5.9165883,28.761473,-0.1757047999999999,51.490111,54.56495932093181,1
4,2021-02-23 09:32:44.522,2.0363836,6.138685,47.18687,-0.1759093,51.4904176,54.60434554964936,1
5,2021-02-23 09:33:22.459,1.6916288000000002,4.563276999999999,16.368973,-0.176191,51.4906793,53.91852895488943,1
6,2021-02-23 09:34:01.155,1.7553384,4.9866753,10.74693,-0.176803,51.4905355,53.32124018010728,1
7,2021-02-23 09:34:39.229,1.9199706000000003,5.6613784,23.047739,-0.1772993,51.4908994,53.26511735146189,1
8,2021-02-23 09:35:17.282,1.8789238,4.9518585,17.639872,-0.177656,51.4912907,53.75124866225728,1
9,2021-02-23 09:35:55.340,1.6903293999999998,4.9264846,12.200092,-0.178042,51.4916532,53.28542160535536,1
10,2021-02-23 09:36:34.041,1.7614633000000002,5.1976414,35.8942,-0.1783807,51.4919383,53.25734784683787,1
11,2021-02-23 09:37:12.072,1.7971929,5.7762837,20.062386,-0.1789878,51.49187070000001,53.51002732020364,1
12,2021-02-23 09:37:50.127,1.8339607,5.4940524,11.156822,-0.1794294,51.4918544,53.62057596504506,1
13,2021-02-23 09:38:28.848,1.9321609,5.849119,19.119753,-0.1796297,51.49228,53.25413887481535,1
14,2021-02-23 09:39:07.527,1.8564188,5.500979,14.576496,-0.1799827,51.4926241,53.30150324937125,1
15,2021-02-23 09:39:45.602,1.8736413,6.1262045,20.2427,-0.1804501,51.4930578,53.16957919758276,1
16,2021-02-23 09:40:24.301,1.7616994,5.1293416,22.53752,-0.1812141,51.4928279,53.37124587202948,1
17,2021-02-23 09:41:01.706,1.6900031999999998,5.1004,17.059677,-0.1815819,51.493125,53.65035993457,1
18,2021-02-23 09:41:41.701,1.8688847,6.2947316,19.301165,-0.1817542999999999,51.4931704,53.59032588718999,1
19,2021-02-23 09:42:18.462,1.8440255,5.989374,15.87728,-0.181842,51.493524,53.891636673791005,1
19,2021-02-23 09:42:18.462,1.8440255,5.989374,15.87728,-0.181842,51.493524,53.891636673791005,1
20,2021-02-23 09:42:57.167,2.079589,7.5237856,26.031956,-0.1822302,51.493924,53.69507358281408,1
21,2021-02-23 09:43:33.932,2.0284958,7.1870713,36.01838,-0.1825192,51.4943884,53.640434168678205,1
22,2021-02-23 09:44:09.392,1.9469016,7.319248,38.236195,-0.182758,51.4947514,53.50564483737252,1
23,2021-02-23 09:44:46.809,1.8376977,6.0670905,23.492115,-0.182948,51.4951828,53.57214929103665,1
24,2021-02-23 09:45:21.649,1.9482112,6.750142599999999,41.128906,-0.1829993999999999,51.495619700000006,53.25978578762373,1
25,2021-02-23 09:45:57.754,1.7615348000000002,6.5467334,19.117311,-0.1831954999999999,51.4960725,53.35140177032457,1
26,2021-02-23 09:46:33.868,1.7914671000000002,5.399307,16.081997,-0.1831407,51.4965416,53.83646352390196,1
26,2021-02-23 09:46:33.868,1.7914671000000002,5.399307,16.081997,-0.1831407,51.4965416,53.83646352390196,1
27,2021-02-23 09:47:11.299,1.8667704,6.5197554,22.178734,-0.1834512999999999,51.497014,54.17420594958468,1
28,2021-02-23 09:47:47.396,1.7509055,5.393603,23.221992,-0.1837115,51.497468700000006,54.55408525945021,1
29,2021-02-23 09:48:24.180,2.0753133000000004,5.936699,15.408166,-0.1837255,51.4979394,54.65046066551253,1
30,2021-02-23 09:49:00.293,2.467382,6.853396000000001,29.887775,-0.183634,51.4983873,55.046206413611365,1
31,2021-02-23 09:49:37.066,2.0987508,6.4654984,28.304296,-0.1839034,51.4986152,55.91513055408772,1
32,2021-02-23 09:50:15.761,1.9513589,6.0884886,20.107294,-0.184097,51.4986905,56.27865648651811,1
33,2021-02-23 09:50:53.820,1.9155369,6.086501599999999,22.967005,-0.1846591,51.4990092,56.65818037708735,1
34,2021-02-23 09:51:29.289,1.758388,5.5756836,10.855614,-0.1851975,51.4992234,56.48501522083989,1
35,2021-02-23 09:52:07.340,1.5636466,5.2192073,11.298973,-0.1855133,51.4992967,56.85642425338423,1
36,2021-02-23 09:52:43.595,1.6111116,4.706448,11.759026,-0.1859125,51.4994213,56.59842986335335,1
37,2021-02-23 09:53:18.318,1.6647166000000002,4.9648814,14.036943,-0.1858819,51.499807200000006,56.46952313196519,1
38,2021-02-23 09:53:54.402,1.5269012,4.483109,12.84446,-0.1857828,51.5001448,57.008292925594006,1
39,2021-02-23 09:54:32.459,1.6326762,6.046768,13.330061,-0.1857253999999999,51.50058789999999,57.28891952309741,1
40,2021-02-23 09:55:10.514,1.7698468,5.4225125,13.51307,-0.1857449,51.5008502,58.03648096912165,1
41,2021-02-23 09:55:45.987,1.611955,5.249215599999999,10.430111,-0.1857937,51.501102200000005,58.22885484407389,1
42,2021-02-23 09:56:21.462,1.6927424999999998,6.1423297,14.112924,-0.1857576,51.501220200000006,58.82261676109864,1
43,2021-02-23 09:56:58.890,1.6110356,5.213883999999999,14.840698,-0.1858009,51.5013232,58.9929580051603,1
44,2021-02-23 09:57:35.002,1.7263855,6.4556913,16.632433,-0.1861661,51.5016222,59.98178231068783,1
45,2021-02-23 09:58:11.121,1.64464,6.344277,22.62602,-0.1861444,51.5020365,60.990881442429206,1
46,2021-02-23 09:58:47.251,1.7830611,6.653211,26.00335,-0.1868745,51.5021226,61.39046277018311,1
47,2021-02-23 09:59:24.671,1.7347411,5.7853246,21.139584,-0.1876176,51.5023203,62.03756819899493,1
48,2021-02-23 10:00:00.213,1.62166,5.805503,19.866543,-0.1881837,51.502408200000005,62.158063960097216,1
49,2021-02-23 10:00:37.550,1.6169832,6.847762,33.637634000000006,-0.1888078,51.50249829999999,61.56288977314996,1
50,2021-02-23 10:01:13.671,1.5538285,7.0207043,49.66011,-0.1895077,51.502304200000005,61.35010264089354,1
51,2021-02-23 10:01:50.414,1.5522203,5.301662,25.835331,-0.190255,51.502219200000006,61.00663968733711,1
52,2021-02-23 10:02:25.891,1.6756417,7.600960300000001,42.915676,-0.1905398999999999,51.5020674,61.13254111723776,1
53,2021-02-23 10:03:00.732,1.0052211,3.1708663,15.034531,-0.1904914,51.5017932,60.94896042396573,1
53,2021-02-23 10:03:00.732,1.0052211,3.1708663,15.034531,-0.1904914,51.5017932,60.94896042396573,1
54,2021-02-23 10:03:36.204,0.88684195,2.451105,6.2102075,-0.1904961,51.5016322,56.26689740774248,1
54,2021-02-23 10:03:36.204,0.88684195,2.451105,6.2102075,-0.1904961,51.5016322,56.26689740774248,1
55,2021-02-23 10:04:12.326,0.7561831,2.1218042,3.334897,-0.1905474,51.5016766,56.12862358882436,1
55,2021-02-23 10:04:12.326,0.7561831,2.1218042,3.334897,-0.1905474,51.5016766,56.12862358882436,1
56,2021-02-23 10:04:47.800,0.8683973,2.2813146,7.6998167,-0.1904576,51.5016373,56.08622554065085,1
56,2021-02-23 10:04:47.800,0.8683973,2.2813146,7.6998167,-0.1904576,51.5016373,56.08622554065085,1
57,2021-02-23 10:05:23.907,0.74692553,1.6262088,2.452371,-0.1904587999999999,51.5016295,56.19523838360854,1
57,2021-02-23 10:05:23.907,0.74692553,1.6262088,2.452371,-0.1904587999999999,51.5016295,56.19523838360854,1
58,2021-02-23 10:06:00.028,0.82605624,2.0483596,6.4270163,-0.1904472,51.5016243,56.1216599592196,1
58,2021-02-23 10:06:00.028,0.82605624,2.0483596,6.4270163,-0.1904472,51.5016243,56.1216599592196,1
59,2021-02-23 10:06:36.168,0.8069194000000001,2.0084379,6.999266,-0.1904247999999999,51.5016308,56.02202458411801,1
59,2021-02-23 10:06:36.168,0.8069194000000001,2.0084379,6.999266,-0.1904247999999999,51.5016308,56.02202458411801,1
60,2021-02-23 10:07:12.293,0.6903878999999999,2.360424,14.180743,-0.19042,51.5016384,56.17802639800446,1
